"date","price","open","Max","Min","volume","change"
"29.04.2022","2.608,00","2.965,00","3.030,00","2.557,00","628,68K","-3,41%"
"28.04.2022","2.700,00","2.554,50","2.950,00","2.500,00","1,27M","7,14%"
"27.04.2022","2.520,00","2.092,50","2.690,50","2.030,00","778,72K","21,56%"
"26.04.2022","2.073,00","1.880,00","2.138,00","1.870,00","424,63K","8,65%"
"25.04.2022","1.908,00","2.185,00","2.228,50","1.908,00","458,35K","-15,95%"
"22.04.2022","2.270,00","2.519,50","2.560,00","2.260,00","320,23K","-8,65%"
"21.04.2022","2.485,00","2.595,00","2.648,00","2.455,50","204,09K","-4,05%"
"20.04.2022","2.590,00","2.506,00","2.775,00","2.424,00","442,03K","1,97%"
"19.04.2022","2.540,00","2.731,00","2.731,00","2.350,50","635,17K","-6,69%"
"18.04.2022","2.722,00","3.002,00","3.069,00","2.710,00","250,73K","-9,05%"
"15.04.2022","2.993,00","3.009,00","3.030,00","2.901,00","138,52K","-0,56%"
"14.04.2022","3.010,00","3.200,00","3.200,00","2.985,00","199,86K","-5,11%"
"13.04.2022","3.172,00","3.260,00","3.260,00","3.139,00","91,97K","-1,40%"
"12.04.2022","3.217,00","3.279,00","3.309,00","3.062,50","178,58K","-1,59%"
"11.04.2022","3.269,00","3.280,00","3.434,50","3.215,00","165,82K","-0,17%"
"08.04.2022","3.274,50","3.460,00","3.548,00","3.151,00","322,99K","-5,63%"
"07.04.2022","3.470,00","3.505,00","3.594,50","3.450,00","226,81K","-0,86%"
"06.04.2022","3.500,00","3.605,00","3.623,00","3.430,00","243,50K","-2,80%"
"05.04.2022","3.601,00","3.748,50","3.791,00","3.360,00","492,91K","-1,72%"
"04.04.2022","3.664,00","3.600,00","3.812,00","3.312,50","661,39K","4,70%"
"01.04.2022","3.499,50","3.350,00","3.678,00","3.331,50","763,96K","5,45%"
"31.03.2022","3.318,50","3.002,00","3.393,50","2.930,00","742,48K","11,36%"
"30.03.2022","2.980,00","3.100,00","3.180,00","2.900,50","362,14K","-0,33%"
"29.03.2022","2.990,00","3.140,00","3.649,50","2.867,50","771,38K","-2,11%"
"25.02.2022","3.054,50","2.664,00","3.852,50","2.559,00","2,80M","0,49%"
"24.02.2022","3.039,50","4.059,50","4.059,50","1.732,50","2,69M","-32,28%"
"22.02.2022","4.488,50","4.400,00","4.615,50","4.007,50","2,79M","0,30%"
"21.02.2022","4.475,00","4.850,00","5.110,00","4.351,00","2,86M","-7,19%"
"18.02.2022","4.821,50","5.151,00","5.294,00","4.663,50","1,52M","-6,32%"
"17.02.2022","5.147,00","5.490,00","5.497,50","5.108,00","1,12M","-6,22%"
"16.02.2022","5.488,50","5.550,00","5.690,00","5.355,00","1,45M","-0,56%"
"15.02.2022","5.519,50","5.235,50","5.645,00","5.232,00","1,80M","5,68%"
"14.02.2022","5.223,00","5.260,00","5.498,00","4.920,00","1,64M","-1,72%"
"11.02.2022","5.314,50","5.810,00","5.958,00","5.309,00","1,62M","-9,10%"
"10.02.2022","5.846,50","5.702,00","6.058,00","5.442,00","1,73M","2,61%"
"09.02.2022","5.698,00","5.067,00","5.741,00","5.035,00","1,51M","12,44%"
"08.02.2022","5.067,50","5.035,00","5.095,00","4.879,50","600,68K","1,25%"
"07.02.2022","5.005,00","5.209,60","5.262,00","4.973,00","389,57K","-3,46%"
"04.02.2022","5.184,60","5.271,60","5.396,60","5.082,60","548,84K","-0,96%"
"03.02.2022","5.235,00","5.503,60","5.565,00","5.117,60","663,01K","-5,74%"
"02.02.2022","5.554,00","5.680,00","5.717,60","5.470,60","555,37K","-1,96%"
"01.02.2022","5.665,00","5.590,00","5.718,00","5.525,00","702,71K","1,40%"
"31.01.2022","5.587,00","5.477,00","5.649,80","5.465,00","631,40K","3,06%"
"28.01.2022","5.421,20","5.440,00","5.749,60","5.329,00","1,21M","0,39%"
"27.01.2022","5.400,00","5.080,00","5.524,80","4.962,40","1,30M","6,09%"
"26.01.2022","5.089,80","4.980,00","5.247,00","4.773,00","1,17M","2,78%"
